"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BHARTIARTL","EQ","11-Jul-2016","        355.05","        365.90","        365.90","        358.05","        360.50","        359.85","        361.22","    2196825","           793541069.95","      21037","    1014349","         46.17"
"BHARTIARTL","EQ","12-Jul-2016","        359.85","        362.40","        364.50","        360.00","        363.80","        363.30","        362.60","    1201581","           435697275.70","      22658","     579665","         48.24"
"BHARTIARTL","EQ","13-Jul-2016","        363.30","        365.90","        365.95","        359.10","        363.90","        363.70","        362.14","    1450574","           525316904.90","      29852","     826376","         56.97"
"BHARTIARTL","EQ","14-Jul-2016","        363.70","        363.60","        367.70","        361.85","        366.80","        366.95","        366.06","     989099","           362073003.60","      16608","     420375","         42.50"
"BHARTIARTL","EQ","15-Jul-2016","        366.95","        365.40","        379.95","        365.40","        378.75","        378.90","        374.59","    2536815","           950267327.30","      40994","    1277472","         50.36"
"BHARTIARTL","EQ","18-Jul-2016","        378.90","        379.70","        380.00","        361.05","        362.55","        362.65","        369.78","    3238034","          1197371274.75","      49503","    1277402","         39.45"
"BHARTIARTL","EQ","19-Jul-2016","        362.65","        359.05","        368.20","        357.60","        365.30","        364.30","        363.55","    3201786","          1164003744.70","      83128","    1623480","         50.71"
"BHARTIARTL","EQ","20-Jul-2016","        364.30","        364.20","        366.95","        361.35","        364.00","        363.40","        363.52","    2564180","           932126447.65","      42631","    1258821","         49.09"
"BHARTIARTL","EQ","21-Jul-2016","        363.40","        365.90","        369.70","        362.50","        367.00","        367.85","        366.95","    1981372","           727073986.95","      38337","    1202404","         60.69"
"BHARTIARTL","EQ","22-Jul-2016","        367.85","        368.00","        369.80","        364.10","        367.65","        367.35","        367.46","    2307181","           847789547.50","      36797","    1288391","         55.84"
"BHARTIARTL","EQ","25-Jul-2016","        367.35","        364.00","        372.80","        363.10","        371.65","        371.95","        369.47","    1668016","           616277395.55","      41676","     932367","         55.90"
"BHARTIARTL","EQ","26-Jul-2016","        371.95","        370.00","        372.95","        366.85","        370.70","        369.85","        369.16","    1678667","           619702821.35","      24783","     976849","         58.19"
"BHARTIARTL","EQ","27-Jul-2016","        369.85","        370.70","        377.25","        368.40","        372.50","        372.55","        372.72","    2337156","           871096300.40","      28596","    1010976","         43.26"
"BHARTIARTL","EQ","28-Jul-2016","        372.55","        381.80","        381.80","        363.60","        370.50","        371.90","        371.46","    7405226","          2750713194.40","      92532","    3727318","         50.33"
"BHARTIARTL","EQ","29-Jul-2016","        371.90","        371.90","        371.90","        360.45","        361.45","        362.05","        363.90","    3765474","          1370244886.50","      50222","    2694013","         71.55"
"BHARTIARTL","EQ","01-Aug-2016","        362.05","        363.45","        367.00","        362.10","        363.00","        364.00","        364.27","    1599986","           582825166.90","      25285","     808421","         50.53"
"BHARTIARTL","EQ","02-Aug-2016","        364.00","        361.90","        364.80","        355.65","        357.40","        357.80","        361.30","    3206029","          1158353162.00","      47677","    1989071","         62.04"
"BHARTIARTL","EQ","03-Aug-2016","        357.80","        359.15","        360.40","        353.25","        358.50","        358.85","        357.06","    2245459","           801754318.85","      31687","    1295704","         57.70"
"BHARTIARTL","EQ","04-Aug-2016","        358.85","        359.80","        368.75","        353.05","        364.50","        366.25","        361.64","    2975193","          1075955371.70","      62908","    1661898","         55.86"
"BHARTIARTL","EQ","05-Aug-2016","        366.25","        367.20","        371.50","        359.55","        363.50","        364.00","        365.78","    3838729","          1404127553.40","      76914","    2036088","         53.04"
"BHARTIARTL","EQ","08-Aug-2016","        364.00","        363.00","        364.90","        349.30","        350.80","        351.55","        353.99","    4841846","          1713947717.75","      63638","    3354898","         69.29"
"BHARTIARTL","EQ","09-Aug-2016","        351.55","        352.90","        355.05","        344.75","        349.40","        349.45","        350.15","    5168298","          1809689739.55","      59664","    3302957","         63.91"
"BHARTIARTL","EQ","10-Aug-2016","        349.45","        351.00","        353.40","        345.00","        346.00","        346.45","        349.14","    1535903","           536248418.40","      29120","     626317","         40.78"
"BHARTIARTL","EQ","11-Aug-2016","        346.45","        346.25","        346.75","        342.00","        345.00","        346.35","        344.41","    2485709","           856092436.40","      45740","    1535380","         61.77"
"BHARTIARTL","EQ","12-Aug-2016","        346.35","        344.25","        349.00","        344.10","        347.75","        347.80","        346.64","    2356815","           816972624.80","      46309","    1328315","         56.36"
"BHARTIARTL","EQ","16-Aug-2016","        347.80","        348.50","        351.35","        339.70","        342.60","        342.45","        343.74","    3742897","          1286595290.00","      80890","    2434906","         65.05"
"BHARTIARTL","EQ","17-Aug-2016","        342.45","        343.50","        349.50","        343.50","        345.90","        345.65","        346.75","    3222433","          1117377683.30","      82388","    1901181","         59.00"
"BHARTIARTL","EQ","18-Aug-2016","        345.65","        348.40","        353.90","        346.85","        353.05","        353.15","        351.35","    1886760","           662911489.60","      37826","     921730","         48.85"
"BHARTIARTL","EQ","19-Aug-2016","        353.15","        354.00","        355.00","        347.30","        350.30","        351.40","        350.14","    1708149","           598097673.40","      32424","     715963","         41.91"
"BHARTIARTL","EQ","22-Aug-2016","        351.40","        351.00","        353.00","        346.10","        350.80","        350.20","        349.58","     886465","           309891787.45","      17935","     344630","         38.88"
"BHARTIARTL","EQ","23-Aug-2016","        350.20","        348.00","        355.40","        344.70","        354.95","        353.75","        350.18","    2295101","           803695440.05","      42105","    1319563","         57.49"
"BHARTIARTL","EQ","24-Aug-2016","        353.75","        354.00","        358.35","        350.00","        352.25","        352.60","        353.66","    1631250","           576909699.50","      55013","     665592","         40.80"
"BHARTIARTL","EQ","25-Aug-2016","        352.60","        351.25","        354.00","        344.10","        350.30","        346.00","        347.15","    3229352","          1121061798.50","      30921","    1953365","         60.49"
"BHARTIARTL","EQ","26-Aug-2016","        346.00","        347.50","        348.10","        341.55","        343.60","        343.95","        344.08","    1127246","           387863910.45","      28400","     482162","         42.77"
"BHARTIARTL","EQ","29-Aug-2016","        343.95","        343.50","        347.75","        335.25","        340.90","        342.60","        341.77","    2549031","           871185361.95","      48255","    1093603","         42.90"
"BHARTIARTL","EQ","30-Aug-2016","        342.60","        342.75","        344.10","        328.75","        332.05","        331.85","        333.42","    4044189","          1348408562.05","      78131","    1715786","         42.43"
"BHARTIARTL","EQ","31-Aug-2016","        331.85","        332.25","        336.90","        328.85","        333.00","        331.65","        332.16","    6401848","          2126450775.55","      85057","    4584702","         71.62"
"BHARTIARTL","EQ","01-Sep-2016","        331.65","        330.00","        332.35","        301.50","        310.15","        310.85","        311.35","   35411027","         11025358117.25","     233077","   17244629","         48.70"
